ACCIONA,"100,5000","-1,57","102,5000","100,0000",59.253,"5.958,24",10/06/2019,17:35
ACERINOX,"8,5680","3,20","8,5680","8,3020",610.683,"5.179,76",10/06/2019,17:35
ACS,"38,1400","2,25","38,2000","37,4600",484.112,"18.433,07",10/06/2019,17:35
AENA,"172,7000","0,12","173,2500","172,3000",60.694,"10.485,34",10/06/2019,17:35
AMADEUS,"71,3600","-0,06","72,3000","70,9200",460.002,"32.871,32",10/06/2019,17:35
ARCELORMIT.,"14,0880","4,53","14,1900","13,7300",526.480,"7.363,02",10/06/2019,17:35
BA.SABADELL,"0,9584","1,91","0,9620","0,9456",17.357.140,"16.579,51",10/06/2019,17:35
BA.SANTANDER,"4,0375","1,84","4,0460","3,9870",20.607.430,"82.915,59",10/06/2019,17:35
BANKIA,"2,2360","2,71","2,2380","2,1860",2.408.307,"5.346,88",10/06/2019,17:35
BANKINTER,"6,4480","1,48","6,4560","6,3660",3.215.243,"20.584,81",10/06/2019,17:35
BBVA,"5,0680","2,95","5,0800","4,9895",19.201.699,"96.747,48",10/06/2019,17:35
CAIXABANK,"2,6770","2,33","2,6770","2,6190",13.147.779,"34.925,28",10/06/2019,17:35
CELLNEX,"31,5200","-0,41","31,9000","31,3200",470.089,"14.824,12",10/06/2019,17:35
CIE AUTOMOT.,"23,4800","3,44","23,5000","23,0000",157.749,"3.688,65",10/06/2019,17:35
ENAGAS,"25,0000","-1,69","25,4700","25,0000",485.574,"12.171,68",10/06/2019,17:35
ENCE,"3,7940","1,55","3,8180","3,7420",1.316.392,"4.979,77",10/06/2019,17:35
ENDESA,"23,3400","-1,02","23,6000","23,2100",520.419,"12.157,71",10/06/2019,17:35
FERROVIAL,"21,7700","0,46","21,9500","21,6700",1.715.127,"37.398,53",10/06/2019,17:35
GRIFOLS CL.A,"23,8900","-1,53","24,3300","23,8600",647.641,"15.529,43",10/06/2019,17:35
IAG,"5,2500","0,00","5,3220","5,2500",1.173.127,"6.184,79",10/06/2019,17:35
IBERDROLA,"8,8180","-0,59","8,8780","8,7860",9.074.585,"80.081,35",10/06/2019,17:35
INDITEX,"25,4300","1,40","25,4300","25,1800",1.592.210,"40.368,73",10/06/2019,17:35
INDRA A,"9,8000","0,67","9,8400","9,7350",349.643,"3.418,84",10/06/2019,17:35
INM.COLONIAL,"10,0700","0,70","10,1300","10,0000",353.675,"3.559,68",10/06/2019,17:35
MAPFRE,"2,6710","0,19","2,6840","2,6620",1.470.946,"3.928,35",10/06/2019,17:35
MEDIASET,"6,5420","-5,35","6,6660","6,4440",3.630.375,"23.859,18",10/06/2019,17:35
MELIA HOTELS,"8,5050","2,04","8,5750","8,3700",742.174,"6.316,92",10/06/2019,17:35
MERLIN,"12,1500","0,00","12,2000","12,1000",413.587,"5.026,32",10/06/2019,17:35
NATURGY,"25,8700","-0,12","26,0500","25,7600",684.580,"17.711,11",10/06/2019,17:35
R.E.C.,"19,3200","-1,78","19,6700","19,3200",656.933,"12.740,82",10/06/2019,17:35
REPSOL,"14,6300","-0,20","14,8100","14,6300",3.612.902,"53.141,08",10/06/2019,17:35
SIEMENS GAME,"14,5300","0,66","14,5850","14,4500",805.435,"11.683,18",10/06/2019,17:35
TEC.REUNIDAS,"24,1800","2,54","24,2400","23,7200",134.655,"3.242,96",10/06/2019,17:35
TELEFONICA,"7,4590","-0,15","7,4930","7,4480",49.069.796,"366.378,01",10/06/2019,17:35
VISCOFAN,"45,4000","0,62","45,5600","45,1200",33.015,"1.496,55",10/06/2019,17:35
