"Aire acondicionado - LG 32EFI12WF.SET, Gas R32, Wi-Fi, Blanco",599,picscdn.redblue.de/doi/pixelboxx-mss-81456080/fee_325_225_png/Aire-acondicionado---LG-32EFI12WF.SET--Gas-R32--Wi-Fi--Blanco,https://www.mediamarkt.es/es/product/_aire-acondicionado-lg-32efi12wf-set-gas-r32-wi-fi-blanco-1449868.html?ga_query=1449868
"Auriculares gaming - Sony Gold Wireless Headset, Inalámbrico, Para PS4, Diadema, Cancelación de",49,picscdn.redblue.de/doi/pixelboxx-mss-77641968/fee_325_225_png/Auriculares-gaming---Sony-Gold-Wireless-Headset--Inal%C3%A1mbrico--Para-PS4--Diadema--Cancelaci%C3%B3n-de,https://www.mediamarkt.es/es/product/_auriculares-gaming-sony-gold-wireless-headset-inal%C3%A1mbrico-para-ps4-diadema-cancelaci%C3%B3n-de-1403783.html
"Convertible 2 en 1 - Microsoft Surface Pro 6, 12.3"", Intel® Core i5-8250U, 8 GB RAM, 128 GB SSD, W10","849,15",picscdn.redblue.de/doi/pixelboxx-mss-80408181/fee_325_225_png/Convertible-2-en-1---Microsoft-Surface-Pro-6--12.3%22--Intel%C2%AE-Core-i5-8250U--8-GB-RAM--128-GB-SSD--W10,https://www.mediamarkt.es/es/product/_convertible-2-en-1-microsoft-surface-pro-6-12-3-intel%C2%AE-core-i5-8250u-8-gb-ram-128-gb-ssd-w10-1442912.html
"Frigorífico Combi - Samsung RB37J501MWW/EF, 353L, 201cm, No Frost, Clase A+++, Blanco",604,picscdn.redblue.de/doi/pixelboxx-mss-76903991/fee_325_225_png/Frigor%C3%ADfico-Combi---Samsung-RB37J501MWW-EF--353L--201cm--No-Frost--Clase-A-----Blanco,https://www.mediamarkt.es/es/product/_frigor%C3%ADfico-combi-samsung-rb37j501mww-ef-353l-201cm-no-frost-clase-a-blanco-1373036.html
"Gafas de Realidad Virtual - Sony PlayStation VR, Cámara V2 + PS4 VR Worlds (Descarga), Para PS4",199,picscdn.redblue.de/doi/pixelboxx-mss-79678172/fee_325_225_png/Gafas-de-Realidad-Virtual---Sony-PlayStation-VR--C%C3%A1mara-V2---PS4-VR-Worlds-%28Descarga%29--Para-PS4,https://www.mediamarkt.es/es/product/_gafas-de-realidad-virtual-sony-playstation-vr-c%C3%A1mara-v2-ps4-vr-worlds-descarga-para-ps4-1438730.html
"Lavadora carga frontal - Samsung WW90J5355FW/EC, 9 Kg, 1200 rpm, Ecobubble, Clase A+++",399,picscdn.redblue.de/doi/pixelboxx-mss-76156108/fee_325_225_png/Lavadora-carga-frontal---Samsung-WW90J5355FW-EC--9-Kg--1200-rpm--Ecobubble--Clase-A---,https://www.mediamarkt.es/es/product/_lavadora-carga-frontal-samsung-ww90j5355fw-ec-9-kg-1200-rpm-ecobubble-clase-a-1376048.html
"Portátil - Asus VivoBook 14 S420UA-BV079T, 14"", i5-8250U, 8 GB, 256 GB SSD, Graphics 620, W10","636,65",picscdn.redblue.de/doi/pixelboxx-mss-81465374/fee_325_225_png/Port%C3%A1til---Asus-VivoBook-14-S420UA-BV079T--14%22--i5-8250U--8-GB--256-GB-SSD--Graphics-620--W10,https://www.mediamarkt.es/es/product/_port%C3%A1til-asus-vivobook-14-s420ua-bv079t-14-i5-8250u-8-gb-256-gb-ssd-graphics-620-w10-1455411.html?ga_query=1455411
"Portátil - HP 15-db0023ns, AMD A9-9425, 8 GB, 1 TB HDD, Plata natural",369,picscdn.redblue.de/doi/pixelboxx-mss-79274215/fee_325_225_png/Port%C3%A1til---HP-15-db0023ns--AMD-A9-9425--8-GB--1-TB-HDD--Plata-natural,https://www.mediamarkt.es/es/product/_port%C3%A1til-hp-15-db0023ns-amd-a9-9425-8-gb-1-tb-hdd-plata-natural-1427682.html
PS4 Red Dead Redemption 2,"39,90",picscdn.redblue.de/doi/pixelboxx-mss-77856455/fee_325_225_png/PS4-Red-Dead-Redemption-2,https://www.mediamarkt.es/es/product/_ps4-red-dead-redemption-2-1345795.html
"Robot aspirador - Cecotec Conga Serie 1390, Mapeo y App, 4 en 1, Friega el suelo, Muro Magnético",189,picscdn.redblue.de/doi/pixelboxx-mss-79036751/fee_325_225_png/Robot-aspirador---Cecotec-Conga-Serie-1390--Mapeo-y-App--4-en-1--Friega-el-suelo--Muro-Magn%C3%A9tico,https://www.mediamarkt.es/es/product/_robot-aspirador-cecotec-conga-serie-1390-mapeo-y-app-4-en-1-friega-el-suelo-muro-magn%C3%A9tico-1433292.html
"Robot de cocina - Taurus Mycook Touch Black Edition, Táctil, 10 velocidades, 1600W, Acero inoxidable",599,picscdn.redblue.de/doi/pixelboxx-mss-81280773/fee_325_225_png/Robot-de-cocina---Taurus-Mycook-Touch-Black-Edition--T%C3%A1ctil--10-velocidades--1600W--Acero-inoxidable,https://www.mediamarkt.es/es/product/_robot-de-cocina-taurus-mycook-touch-t%C3%A1ctil-10-velocidades-1600w-acero-inoxidable-gris-1454824.html?ga_query=1454824
"TV LED 40"" - Samsung UE40NU7125, Ultra HD 4K, HDR, Smart TV, UHD Dimming",379,picscdn.redblue.de/doi/pixelboxx-mss-77379403/fee_325_225_png/TV-LED-40%22---Samsung-UE40NU7125--Ultra-HD-4K--HDR--Smart-TV--UHD-Dimming,https://www.mediamarkt.es/es/product/_tv-led-40-samsung-ue40nu7125kxxc-ultra-hd-4k-hdr-smart-tv-uhd-dimming-1403327.html
"TV LED 55"" - LG 55UK6470PLC, UHD 4K 3xHDR, Panel IPS, AI Smart TV ThinQ webOS 4.0",499,picscdn.redblue.de/doi/pixelboxx-mss-77333703/fee_325_225_png/TV-LED-55%22---LG-55UK6470PLC--UHD-4K-3xHDR--Panel-IPS--AI-Smart-TV-ThinQ-webOS-4.0,https://www.mediamarkt.es/es/product/_tv-led-55-lg-55uk6470plc-uhd-4k-3xhdr-panel-ips-ai-smart-tv-thinq-webos-4-0-1404122.html?ga_query=1404122
